CVE,SUCCESS,REASON,COST,TIME,MODEL
CVE-2024-4340,False,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-THe3a***************************************1JSw. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,6,example_run
CVE-2024-4340,False,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-THe3a***************************************1JSw. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,8,example_run
CVE-2024-4340,False,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-THe3a***************************************1JSw. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,8,example_run
CVE-2024-4340,False,list index out of range,0,10,example_run
CVE-2024-4340,False,Exploiter response not found,0.135656,134,example_run
CVE-2023-1370,False,❌ CVE-2023-1370 not found in cache file,0,0,example_run
CVE-2023-1370,False,❌ CVE-2023-1370 cache file not found at data/generated.json,0,0,example_run
CVE-2024-4340,True,CTF Verifier done! CVE reproduced!,0.2954272,260,example_run
CVE-2023-1370,False,❌ CVE-2023-1370 not found in cache file,0,0,example_run
CVE-2023-1370,False,'CVE_data_meta',0,0,example_run
CVE-2023-1370,False,"❌ We were not able to find patch URLs, so please provide the code_url argument",0,0,example_run
CVE-2023-1370,False,"Message: Unable to obtain driver for firefox; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location
",0,0,example_run
CVE-2023-1370,False,list index out of range,0,2,example_run
CVE-2023-1370,False,list index out of range,0,2,example_run
CVE-2024-2288,False,Expecting value: line 1 column 1 (char 0),0,0,example_run
CVE-2024-2288,False,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 200000 tokens. However, your messages resulted in 987535 tokens (987013 in the messages, 522 in the functions). Please reduce the length of the messages or functions."", 'type': 'rix_api_error', 'param': 'messages', 'code': 'context_length_exceeded'}}",3.4528197,1890,example_run
CVE-2024-2288,False,"Error code: 400 - {'error': {'message': ""This model's maximum context length is 200000 tokens. However, your messages resulted in 229439 tokens (228917 in the messages, 522 in the functions). Please reduce the length of the messages or functions."", 'type': 'rix_api_error', 'param': 'messages', 'code': 'context_length_exceeded'}}",2.6730660000000004,1785,example_run
CVE-2024-7009,False,Cost exceeds maximum limit,5.474663700000001,2700,example_run
CVE-2024-2928,False,"Error code: 403 - {'error': {'message': '预扣费额度失败, 用户剩余额度: ＄0.130524, 需要预扣费额度: ＄0.600000 (request id: 20251112162142599359065Z7tO6RyJ)', 'type': 'rix_api_error', 'param': '', 'code': 'insufficient_user_quota'}}",1.9301984,1853,example_run
